축제번호,축제명,소분류,개최장소,축제 기간,축제내용,주관기관,지역 코드
F0001,2018 제2회 광진교 페스티벌,문화,광진교,8,청소년 페스티벌| 연날리기| 무대공연| 버스킹| 아트마켓| 완구거리| 푸드트럭| 기타 체험부스 등,서울특별시 광진구청,A01
F0002,2018 제8회 광나루 어울마당,문화,어린이대공원,9,주민자치경연대회| 평생학습동아리 발표회| 청소년 페스티벌| 체험| 판매| 홍보| 먹거리 부스 등,서울특별시 광진구청,A01
F0003,2019 강남페스티벌,문화,강남구 전역,9,개막제| K-POP 콘서트 등,강남구,A01
F0004,2019 강남페스티벌 패션쇼,문화,도산공원,9,패션축제를 통한 지역경제 활성화 유도,강남문화재단,A01
F0005,2019 동작복지나눔축제,복지,숭실대학교,8,사회복지의 날 기념식| 복지나눔콘서트| 오색복지 체험·나눔부스 등,동작구지역사회보장협의체·축제추진위원회,A01
F0006,2019 서울센터 네트워크파티 ''가가호호'',기술,미정,12,한해 사업을 결산하고 평가하여 내년도 사업의 방향과 토대를 마련. 센터 이요자와 관계자 등과 감사를 표하고 네트워킹의 장 제공,시청자미디어재단 서울시청자미디어센터,A01
F0007,2019 서울인라디오,미디어,홍대 걷고싶은 거리,9,서울 시민의 방송참여 기회 확대 및 마을미디어·공동체라디오 활성화 도모,시청자미디어재단 서울시청자미디어센터,A01
F0008,2019 제8회 서울동화축제,문화,어린이대공원,5,동화를 테마로 한 전시·공연·체험·구연동화 및 각종 이벤트 개최,서울동화축제위원회,A01
F0009,2019해우리문화축제,문화,양천공원,9,반려예술|반려식물존 구성으로 반려문화 한마당 개최,코피플랜,A01
F0010,365일 펀앤판 강남,예술,"강남역, 코엑스 등",4,탑싱아| 댄스킹| G스타킹| 거리버스킹| 청춘밴드| LIVE연가| 거리예술마당| 외국인공연단,서울특별시 강남구,A01
F0011,4.19혁명 국민문화제 2019,역사,서울특별시 강북구 국립4.19 민주묘지 및 강북구 일원,4,4.19기념 국민문화제,4.19혁명 국민문화제위원회,A01
F0012,C-festival 2019,문화,코엑스 영동대로,5,인사이트 콘서트| 잇더서울| Craft Beer Festival 등,코엑스,A01
F0013,K-POP 뮤직페스티벌,문화,코엑스 광장,5,상시 K-POP 공연,강남구,A01
F0014,K-POP광장 야외시네마,문화,코엑스 K-POP광장,4,야외시네마 및 부대행사,강남구,A01
F0015,강감찬축제,역사,낙성대공원 일대,10,강감찬 장군 출병식 및 전승행렬 거리 퍼레이드| 고려마을 테마 체험부스| 강감찬 장군 추모제향 등 다채로운 행사 진행,관악구,A01
F0016,강동선사문화축제,역사,서울 암사동 유적,10,신석기시대 체험 축제,강동구청,A01
F0017,개화산 봄꽃축제,꽃놀이,방화근린공원,4,건강걷기| 지역예능인한마당| 플라워 콘서트,강서문화원,A01
F0018,구로G페스티벌,문화,서울특별시 구로구 안양천 둔치,9,구민이 주체가 되어 자발적으로 참여하는 구로구민을 위한 축제,구로구,A01
F0019,금천하모니벚꽃축제 2019,꽃놀이,금천구청 광장 및 안양천변,4,개막공연(금나래의전설)| 꽃길만 걷자(아트브리지| 빛아트 등)| 금천하모니오케스트라| 우리동네 슈퍼스타| 하모니벚꽃장 등,금천하모니벚꽃축제거버넌스,A01
F0020,내 집 앞 세계영화제,미디어,강남구 전역,3,주민생활 공간 곳곳에서 세계영화 상영,강남구,A01
F0021,노원등축제,문화,어린이교통공원 아래 당현천,4,등|빛 작품 전시| 체험프로그램| 먹거리|전시 부스 운영 등,노원문화원,A01
F0022,노원탈축제,문화,롯데백화점 ~ 순복음교회 사이 도로(노해로),10,19개동마을축제| 생활예술동아리 축제| 탈퍼레이드| 특화사업| 축하공연| 체험부스| 마들탈가요제 등,노원탈축제추진위원회,A01
F0023,동작가족한마음축제,가족,보라매공원,10,구민체육대회| 축하공연| 동작가족미니랜드| 주민체험부스 운영 등,동작가족한마음축제 추진위원회,A01
F0024,동작구 도서관 축제,독서,보라매공원,10,도서관 홍보| 도서전시| 공연| 체험프로그램 운영 등,동작구 교육정책과,A01
F0025,롤링나이트 2019,문화,코엑스 K-POP광장,6,야외롤러장| 부대행사,코엑스,A01
F0026,방아다리벗꽃축제,꽃놀이,신월5동,4,벗꽃 풍경이 멋진 방아다리길에서 마을주민축제개최,벗꽃축제추진위,A01
F0027,봉황각 3.1독립운동 재현행사,역사,서울특별시 강북구 우이동 봉황각 일원,3,도선사 타종  독립선언문 낭독  길놀이 및 태극기 거리행진,서울특별시 강북구청,A01
F0028,서대문독립민주축제,역사,서대문형무소역사관,8,풋프린팅|역사콘서트|체험프로그램 등,서울특별시 서대문독립민주축제추진위원회,A01
F0029,서울약령시 한방문화축제,문화,서울약령시 약령문 거리,5,보제원제향| 한방사랑시민걷기대회 및 각종 한방체험,(사)서울약령시협회,A01
F0030,서울장미축제,꽃놀이,서울장미공원,5,장미개화시기에 맞춰 중랑천 둔치| 수림대 공원에서의 특설 무대 공연| 포토존| 조각전 등 5.15km 장미터널을 활용한 서울대표문화축제,중랑구,A01
F0031,석촌호수벚꽃축제,꽃놀이,석촌호수 일대,4,벚꽃조명길| 벚꽃은하수길| 벚꽃체험| 벚꽃프린지| 벚꽃음악회| 벚꽃시네마| 푸드트럭 등,서울특별시 송파구,A01
F0032,선농대제,역사,선농단,4,제례봉행| 설렁탕나눔행사,동대문문화재단,A01
F0033,세계 민속춤 축제,문화,왕십리 광장,9,세계 각국의 신명나는 민속춤 공연을 통해 구민들에게 힐링의 시간을 제공,서울특별시 성동구청,A01
F0034,세계거리춤축제,문화,장한로,9,세계거리춤공연| 주민참여무대| 각종춤경연,(사)세계거리춤축제위원회,A01
F0035,용마폭포 문화예술축제,자연,용마폭포공원,10,클래식| 성악 등 가을 분위기에 어울리는 공연 및 각종 체험행사 등,중랑구,A01
F0036,우장산 신록축제,꽃놀이,우장산근린공원,5,건강걷기| 주민참여마당| 숲속음악회,강서문화원,A01
F0037,은평누리축제,문화,"역촌역 평화공원, 불광천수변무대, 은평문화예술회관 등",10,문화공연| 체험부스 등,은평구,A01
F0038,응봉산 개나리축체,꽃놀이,서울특별시 성동구 응봉동 응봉산,3,구민이 주체가 되어 자발적으로 참여하는 성동구민을 위한 축제,서울특별시 성동구청,A01
F0039,응봉산 해맞이축제,해돋이,서울특별시 성동구 응봉동 응봉산,1,신년 북 다고| 새해 덕담| 해돋이 감상,서울특별시 성동구청,A01
F0040,인디스트리트 생활음악페스티벌''뮤직스트릿 파티'',문화,"연신내 물빛공원, 차없는 거리",8,문화공연| 길놀이단| 체험부스 등,은평구,A01
F0041,정월대보름 행사,보름달맞이,안양천변 축구장(신정교아래),2,정월대보름 행사 (풍물놀이| 민속놀이체험| 달집태우기| 불꽃놀이| 먹걸이장터등),서울특별시 양천문화원,A01
F0042,정조대왕 능행차 공동재현,역사,시흥IC~시흥행궁,10,의궤복원 프로그램(행렬| 격쟁 등)| 주요행사(전통공연| 체험프로그램)|주민환영행사프로그램(구민퍼레이드| 향토문화축제 등),금천구,A01
F0043,제15회 영등포 여의도 봄꽃축제,꽃놀이,여의서로 일대(국회의사당 뒤편),4,공연| 문화| 전시| 체험,영등포문화재단,A01
F0044,제7회 도심 속 바다축제,바다,노량진수산시장 일대,10,바다콘서트| 맨손활어잡기| 모의경매| 루프탑 파티| 먹거리장터 등,동작구축제추진위원회,A01
F0045,종교연합바자회,종교,서울특별시 강북구 한신대신학대학원,10,종교연합 바자회 기증물품 판매  문화공연  수익금전액 난치병어린이돕기 후원,서울특별시 강북구 관내 3종교연합,A01
F0046,청룡문화제,미디어,용두근린공원,10,제례봉행| 어가행렬,서울특별시 동대문문화원,A01
F0047,크리스마스거리축제,문화,연세로,12,경관조명|거리공연|체험부스,서울특별시 서대문구,A01
F0048,태강릉 문화제,역사,"태릉, 경춘선 숲길 화랑대 철도공원",4,어가행렬| 각종공연| 체험프로그램 등,노원문화원/조선왕릉문화벨트 콘텐츠활용사업추진단,A01
F0049,태조 이성계 축제,역사,"살곶이체육공원, 살곶이다리",10,역사적 인물 ''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''이성계''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''와 ''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''사냥''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''의 전통성을 살린 사냥행차 거리 퍼레이드로 진행되는 지역축제,성동문화재단,A01
F0050,한성백제문화제,역사,올림픽공원 일대,9,역사문화거리행렬| 한성백제체험마을| 한성백제갈라퍼레이드| 개폐막식 등 축하공연| 한성백제 성곽돌기| 각종 체험행사 등,한성백제문화제추진위원회,A01
F0051,한여름 밤의 페스티벌,여름,신정여자상업고등학교,8,각종 가수 초청 공연,강서문화원,A01
F0052,해맞이축제,해돋이,개화산 정상,1,소망엽서 보내기| 문화공연| 해오름 행사,서울특별시 강서구청,A01
F0053,허준축제,역사,허준근린공원,10,개막식| 허준콘서트| 전국허준가요제| 먹거리장터| 각종 체험부스 등,강서문화원,A01
F0054,2019 금정산성축제,역사,"온천천(장전역 ~ 부산대지하철역), 금정산성다목적광장 일원",5,개막식| 공연·체험 프로그램| 부대행사 등,금정문화재단,B01
F0055,2019 마을미디어축제 (예정),미디어,부산시청자미디어센터,12,부산·경남·제주지역 마을미디어 활동가 및 강사가 함께하는 교류 행사,시청자미디어재단 부산시청자미디어센터,B01
F0056,2019 산해진미프로젝트_사량도 청소년 여름방학캠프,청소년,"사량초등학교, 사량중학교",8,사량초중학교 청소년대상 여름방학 영상제작 집중 캠프,시청자미디어재단 부산시청자미디어센터,B01
F0057,2019 오륙도 평화축제,역사,평화공원(대연동),10,무대공연| 부대행사| 오륙도 평화가족가요제,부산광역시 남구,B01
F0058,2020년 제16회 해운대모래축제,바다,해운대 해수욕장,5,모래작품 전시 및 체험| 거리퍼레이드| 다양한 공연 등,(사)해운대문화관광협의회,B01
F0059,감천문화마을 골목축제,먹거리,감천문화마을 일원,4,골목나라퍼레이드|청소년프린지어워드| 골목노래자랑| 마을연극 등,(사)감천문화마을 주민협의회,B01
F0060,광복로연등문화제,역사,광복로 및 광복중앙로 일원,4,장엄등 및 거리등 전시,부산중구불교연합회,B01
F0061,낙동강유채꽃 축제,꽃놀이,대저생태공원,4,유채꽃 관람 체험 및 공연프로그램 등,(사)부산문화관광축제조직위원회,B01
F0062,동래읍성역사축제,역사,"동래문화회관,읍성광장,온천장 일원",10,동래부사행차 길놀이|동래성 전투 실경 뮤지컬|동래세가닥줄다리기|동래온천용왕제길놀이|동래장터 체험 등,동래읍성역사축제추진위원회,B01
F0063,동삼풍어제,먹거리,동삼동 하리항 입구 선착장,4,지신밟기| 바라품| 개회식| 살풀이등 풍어제| 12계단 작두,동삼어촌계 풍어제추진위원회,B01
F0064,발복기원제,문화,봉래산 헬기장,6,개회식| 기원제| 길놀이| 의식공연| 음복례 등,봉래산발복기원제추진위원회,B01
F0065,보수동책방골목문화축제,독서,보수동책방골목 및 문화관,10,책읽는마을 심포지엄/공연행사/체험 등,보수동 책방골목 번영회,B01
F0066,부산 2019 장애인미디어축제 ''배프 in BIFF'',미디어,부산 센텀시티 내 배리어프리존 일대,10,배리어프리 극장(영화/연극/뮤지컬)| 콘서트(음악| 미디어아트| 드림페스티벌)| 거리축제(각종 체험부스),센텀시티배리어프리존 운영위원회,B01
F0067,부산 2019 합천청소년 미디어영상캠프,청소년,경남 합천청소년수련관 일대,7,영상에 관심있는 경남 중고등학생 30여명이 함께 2박3일간 영상을 제작하는 집중교육,시청자미디어재단 부산시청자미디어센터,B01
F0068,부산 차이나타운특구 문화축제,문화,"부산역 광장, 차이나타운특구 일원",10,볼거리| 먹거리| 체험 프로그램 구성|중국문화원| 중국유학생 등 다양한 채널을 통한 중국전통공연과 한국을 대표할 수 있는 문화공연 및 체험 등 배치,부산차이나타운축제추진위원회,B01
F0069,부산고등어축제,먹거리,송도해수욕장 및 부산공동어시장 일원,10,개막행사| 맨손 고등어잡기| 고등어 캐릭터 전시판매관| 고등어 주제공연| 전국 고등어요리 경연| 바다사랑 문예창작대회| 먹거리 한마당 등,(사)부산서구문화원,B01
F0070,부산국제록페스티벌,문화,삼락생태공원,7,국내외 록밴드 라이브공연,(사)부산문화관광축제조직위원회,B01
F0071,부산국제영화제 전야제,미디어,BIFF광장 및 광복로 등,10,핸드프린팅 개봉/축하공연,(사) 부산국제영화제,B01
F0072,부산바다축제,바다,부산5개해수욕장,8,개막행사 물의난장 음악공연 등,(사)부산문화관광축제조직위원회,B01
F0073,부산불꽃축제,문화,광안리해변,11,해외초청 불꽃쇼| 첨단멀티 불꽃쇼,(사)부산문화관광축제조직위원회,B01
F0074,부산시민의종 타종식,문화,용두산공원,12,시민의종 타종| 문화공연,(사)부산문화관광축제조직위원회,B01
F0075,부산자갈치축제,먹거리,자갈치시장 및 유라리광장 일원,10,개막식| 길놀이| 체험프로그램등,(사)부산자갈치문화관광축제위원회,B01
F0076,부산크리스마스트리문화축제,문화,광복로 및 중구 관내 일원,11,일루미네이션 크리스마스트리장식/성탄음악행사/시민참여행사/점등식 등,(사) 부산기독교총연합회,B01
F0077,부산크리스마스트리축제,문화,광복로일원,11,트리점등식 문화공연| 사랑나눔행사,크리스마스트리축제위원회,B01
F0078,부산항축제,문화,북항 및 국립해양박물관 일원,5,부산항불꽃쇼| 부산항투어| 해양레저체험 등,(사)부산문화관광축제조직위원회,B01
F0079,서면메디컬스트리트 축제,기술,서면메디컬스트리트 일대,11,개막행사| 의료체험| 문화체험| 연계행사 등,부산광역시 부산진구청,B01
F0080,영도구룡축제,문화,동삼1동 주민센터 및 영도여고 뒤편 함지로 일원,3,각종 문화공연| 구룡가요제| 벚꽃길 걷기대회| 전시| 체험부스 운영 등,영도구룡축제추진위원회,B01
F0081,영도다리 만남의 축제,문화,유라리광장,11,축하공연| 소방정분수쇼 등 시민과 관객을 위한 문화행사,부산중구청,B01
F0082,원도심활성화 축제,문화,원도심,5,원도심 야경투어및 관광명소 탐방,(사)부산문화관광축제조직위원회,B01
F0083,전포카페거리축제,문화,전포카페거리 일원,10,개막식|퍼레이드|버스킹|체험 이벤트|  아트마켓 등,부산광역시 부산진구청,B01
F0084,제 10회서면우리문화축제,문화,부산시민공원 국립아트센터 부지,4,전통|창작 공연| 전통 놀이·체험| 민속품 전시| 부대행사 등,부산광역시 부산진구청,B01
F0085,제11회 삼락벚꽃축제,꽃놀이,삼락생태공원,3,삼락벚꽃축제,삼락동,B01
F0086,제14회 수국꽃 문화축제,꽃놀이,태종대 내 태종사 일원,6,개막식| 수국꽃 관람| 꽃밭포토존| 꽃밭버스킹| 꽃밭냉면시식회| 힐링체험프로그램(6종)| 아트(프리)마켓 운영,수국축제추진위원회,B01
F0087,제15회 부산국제매직페스티벌,미디어,"영화의전당, 구남로일원, 시청자미디어센터",6,개막행사| 국제마술대회| 매직갈라쇼 등(축제일정은 미확정),부산국제매직페스티벌조직위원회,B01
F0088,제15회 부산국제어린이청소년영화제,청소년,영화의전당,7,청소년 영화 상영 등(축제일정은 미확정),(사)부산국제어린이영화제조직위원회,B01
F0089,제15회 차성문화제,역사,기장중학교 일원,10,전통문화체험| 차성가 연극 및 공연| 차성가 콘서트 등,차성문화제추진위원회,B01
F0090,제16회 부산세계불꽃축제,문화,"마린시티, 동백섬, 광안리해수욕장",11,광안대교를 배경으로 부산만의 특화된 불꽃축제(축제일정은 미확정),(사)부산문화관광축제조직위원회,B01
F0091,제18회 사상강변축제,예술,삼락생태공원,3,사상강변축제,사상문화원,B01
F0092,제19회 사상전통달집놀이,역사,삼락생태공원,2,사상전통달집 놀이,사상문화원,B01
F0093,제20회광안리어방축제,바다,광안리해변 일원,4,뮤지컬어방| 경상좌수사행렬| 어방그물끌기 한마당| 진두어화| 어방민속마을 등 6개분야 40종목,수영구축제위원회,B01
F0094,제24회 부산국제영화제 커뮤니티 비프,미디어,부산 중구 및 해운대구 일대,10,동형 방송스튜디오(미디어나눔버스)를 활용한 FM라디오 방송 진행,시청자미디어재단 부산시청자미디어센터,B01
F0095,제25회 부산국제영화제,미디어,영화의전당 등,10,제25회 부산국제영화제(축제일정은 미확정),BIFF조직위원회,B01
F0096,제25회 부산바다축제,바다,해운대해수욕장 등,8,개막행사| 체험행사| 공연행사 등(축제일정은 미확정),(사)부산문화관광축제조직위원회,B01
F0097,제25회 송정해변축제,바다,송정해수욕장,8,축하공연| 해변가요제 등(축제일정은 미확정),송정축제조직위원회,B01
F0098,제27회 영도다리축제,역사,"봉래동물양장, 깡깡이마을 일원",10,개막주제공연| 축하공연| 불꽃쇼| 퍼레이드| 깡깡이 걷기대회 등,영도문화원,B01
F0099,제2회 연제고분판타지축제,만화,온천천시민공원,9,왕가의 행렬| 왕가의 부활 및 귀환| 전시행사| 문화공연| 체험행사 등,연제구 축제추진위원회,B01
F0100,제33회 해운대북극곰수영축제,운동,해운대 해수욕장,1,전야제| 북극곰수영,부산일보사,B01
F0101,제38회 해운대달맞이온천축제,바다,해운대 해수욕장,2,해운대 월출과 온천을 소재로 민속축제를 계승 재현,해운대지구발전협의회,B01
F0102,제4회 라라라 페스티벌,문화,부산대 지하철역 아래 문화행사장 일원 (온천천 어울마당),10,금정 커피|빵|문화의 맛 즐기기 및 공연 등 문화공간 제공,부산광역시 금정구,B01
F0103,제5회 강서낙동강 30리 벚꽃축제,꽃놀이,대저생태공원,3,문화행사| 전시체험행사| 노래자랑| 걷기대회 등,부산광역시 강서구,B01
F0104,제9회 낙동강 구포나루 축제,문화,화명생태공원 선착장 일원,5,감동 민속촌/밀사리체험/바비큐체험/구포국수체험 등,(사)북구문화관광축제조직위원회,B01
F0105,제9회 부산진구 북페스티벌,문화,부산시민공원 다솜관,9,인형극| 전시행사| 체험행사| 부대행사,부산광역시 부산진구청,B01
F0106,조선통신사 축제,역사,용두산공원 및 광복로 일원,5,광장행사| 조선통신사 평화의 행렬| 조선통신사의 밤| 한일거리예술공연 등,(재)부산문화재단,B01
F0107,조선통신사 축제,역사,"광복로일원, 용두산공원",5,조선통신사 행렬재현| 마상재| 新조선통신사 프로그램 등,부산문화재단,B01
F0108,해운대 북극곰축제,바다,해운대해수욕장,1,겨울바다 수영입수식 및 축하공연 버스킹 등,부산일보,B01
F0109,현인가요제,문화,송도해수욕장 일원,8,개막행사| 현인가요제 전야제| 현인가요제 본선,(사)한국연예예술인협회,B01
F0110,「제34회 대구약령시 한방문화축제」,문화,약령시(약전골목) 일원,5,경연| 참여| 체험| 전시| 공연| 먹거리 등,(사)약령시보존위원회,C01
F0111,「제37회 대구약령시 한방문화축제」,문화,약령시(약전골목) 일원,10,경연| 참여| 체험| 전시| 공연| 먹거리 등,(사)약령시보존위원회,C01
F0112,2019컬러풀대구페스티벌,문화,국채보상로(서성네거리~종각네거리),5,퍼레이드|거리예술제|예술장터 등,(재)대구문화재단,C01
F0113,가족사랑 아이스축제,가족,이현공원물놀이장,7,온가족 참여 체험 프로그램| 플리마켓 및 체험부스 등,공모 선정,C01
F0114,고3문화축제,문화,계명문화대학교 실내체육관,12,초청공연| 학교별 장기자랑| 감사편지 낭독 등,달서구청소년수련관,C01
F0115,고모령 가요제,문화,수성못 상화동산,8,예선 및 본선| 축하공연,수성문화원,C01
F0116,구민화합 한마당,문화,지저동 금호강 둔치,3,주민자치프로그램경연대회|체육대회|축하음악회,대구광역시 동구청,C01
F0117,국제보디페인팅축제,문화,코오롱야외음악당,8,바디페인팅 부문 경연| 바디페인팅 사진 전시| 각종 홍보관 등,DIBF 조직위원회,C01
F0118,금호강 바람소리길 축제,문화,금호강변(산격대교 하단 둔치),9,테마공연| 체험형 메인프로그램|수상프로그램|어린이체험프로그램|지역복지박람회 등,북구청 문화예술과,C01
F0119,금호강 정월대보름 축제,문화,금호강변(산격대교 하단 둔치),2,달집태우기행사|풍물놀이|소원지봉헌등,북구청 문화예술과,C01
F0120,김광석노래부르기,예술,신천둔치(대봉교아래),9,노래경연| 초청가수콘서트| 부대행사,대구문화방송㈜,C01
F0121,김광석추모콘서트,예술,김광석길야외콘서트홀,1,초청가수콘서트,대봉문화마을협의회,C01
F0122,달구벌목민관축제,문화,서구 일대,10,달구벌목민관 부임 행차 퍼레이드 등,서구청,C01
F0123,달배달맞이축제,해돋이,월광수변공원,2,민속놀이마당| 체험마당| 소원지 작성| 축하마당| 기원마당 등,달서구문화원,C01
F0124,달서가족축제,가족,호림강나루공원,5,개회식| 명랑경기| 가족미션경기| 화합마당| 부대행사 등,대구광역시 달서구여성단체협의회,C01
F0125,달서구평생학습대축제,교육,옛 두류정수장,9,주민자치센터 경연대회| 평생학습동아리 작은 발표회| 체험·홍보 부스| 작품전시| 어린이 사생실기대회| 청소년 끼흥한마당 등,달서구,C01
F0126,달성토성마을축제,문화,달성토성 둘레길,4,골목정원투어| 거리 퍼레이드 등,달성토성마을골목축제 조직위원회,C01
F0127,대구 근대路야행,문화,근대골목 일원(청라언덕~계산성당~약령시한의약박물관),8,문화(재)시설 오픈하우스| 전시| 공연| 체험| 강좌| 투어 등,대구광역시 중구,C01
F0128,대구 근대路야행(2회),문화,청라언덕,9,문화(재)시설 오픈하우스| 전시| 공연| 체험| 강좌| 투어 등,대구광역시 중구,C01
F0129,대구 글로벌게임문화축제 e-Fun,미디어,동성로 야외무대 및 도심일원,8,게임영상콘서트| 국내외 메이저 기업 & 중소기업 전시관| 한중게임문화축제| 아이디어 피칭|도심RPG,(재)대구디지털산업진흥원,C01
F0130,대구국제뮤지컬페스티벌,문화,대구 주요 공연장 및 시내 전역,6,공식초청작| 특별공연| 창작지원작| 대학생뮤지컬페스티벌 등,㈔대구국제뮤지컬페스티벌,C01
F0131,대구국제오페라축제,예술,"대구오페라하우스, 수성못, 어울아트센터 등",9,메인오페라| 소극장오페라| 프레콘서트| 수상음악회 등,(재)대구오페라하우스,C01
F0132,대구국제재즈축제,예술,"수성못 상화동산, 수성아트피아 등",9,재즈매니아| 실용음악콩쿠르| 프린지공연 등,대구국제재즈축제조직위원회,C01
F0133,대구국제패션문화페스티벌,예술,대구삼성창조캠퍼스,10,국제문화패션쇼| 섬유패션 파사드 전시| 미디어 퍼포먼스 공연,한국패션산업연구원,C01
F0134,대구국제호러페스티벌,문화,대구스타디움 시민광장,8,거리극페스티벌| 호러연극제| 부대행사(좀비런),대구호러공연예술제조직위원회,C01
F0135,대구스트리트 모터 페스티벌,기술,남산동 자동차골목,10,자동차전시| 레이싱모델쇼| 공연 등,남산동자동차골목상점가상인회,C01
F0136,대구약령시한방문화축제,문화,약령시(약전골목) 일원,5,고유제| 개막식| 한방 관련 전시?문화?경연?공연?체험 프로그램,(사)약령시보존위원회,C01
F0137,대구워터페스티벌,문화,북성로 공구골목 일원,7,물총놀이| 무대행사| 푸드트럭| 플리마켓| 주민쉼터 등,문화기업 더스타일,C01
F0138,대구치맥페스티벌,먹거리,두류공원일원,7,치킨과 맥주 행사에 걸맞는 각종 무대행사와 전시행사,대구치맥페스티벌조직위원회,C01
F0139,대구포크페스티벌,먹거리,코오롱야외음악당,7,국내외 정상급 포크 공연,(사)대구포크페스티벌,C01
F0140,대구화교중화문화축제,문화,종로 화교소학교 및 화교거리,8,무대행사 및 거리행사| 전시행사 등,대구화교협회,C01
F0141,동성로축제,문화,동성로 야외무대,5,개막식| 동성로가요제| 커버댄스| DJ페스티벌,사)달성문화선양회,C01
F0142,동아시아보자기페스티벌,문화,대구삼성창조캠퍼스,9,섬유작품 및 전시| 버스킹공연| 전시.체험 등,(재)대구문화재단,C01
F0143,두류 젊음의 거리 2019 달서 맛 페스티벌,먹거리,두류 젊음의 거리,10,로드펍(Road Pub)| 버스킹 공연| 청년 창업 컨설팅| 먹거리골목 대표음식 및 웰빙푸드 전시관 운영 등,(사)한국외식업중앙회 대구달서구지부,C01
F0144,미소&행복 구민축제,문화,구민운동장,10,구민화합경기| 구민가요제 등,서구문화원,C01
F0145,방천골목오페라축제,예술,방천골목,6,야외실경오페라| 아마추어칸초네경연대회| 갈라콘서트,방천골목오페라추진위원회,C01
F0146,봉산도예전,역사,봉산문화거리,4,도예전시 및 부대행사,봉산문화협회,C01
F0147,봉산미술제,예술,봉산문화거리,10,화랑기획전 및 부대행사,봉산문화협회,C01
F0148,상화문학제,예술,수성못 상화동산,5,상화백일장| 상화문학의밤 등,수성문화원,C01
F0149,선사문화축제,역사,한샘공원,5,선사문화 원시인 거래퍼레이드| 선사테마| 야생체험| 선사프리마켓| 선사인 무용제| 도심속 선사음악회 등,세종문화재연구원,C01
F0150,수성 건강 축제,운동,대구스타디움 서편광장,8,테마별 건강체험관 운영,수성구 보건소,C01
F0151,수성못 페스티벌,문화,"수성못,들안길,수성아트피아",9,수성못 주제 프로그램| 들안길 푸드 페스티벌 등,(재)수성문화재단,C01
F0152,약령개장 357주년 2015「대구약령시 한방문화축제」,문화,약령시(약전골목) 일원,4,경연| 참여| 체험| 전시| 공연| 먹거리 등,(사)약령시보존위원회,C01
F0153,용암산성 옥샘문화재,역사,불로천 다목적광장,10,옥천제| 사생대회| 끼페스티벌| 문화행사 등,용암산성옥샘문화제추진위원회,C01
F0154,장미꽃 필(feel)무렵,꽃놀이,이곡장미공원,5,콘서트(7080콘스트| 뮤지컬갈라| 브라질 재즈)| 더 파티인 로즈가즌(이웃주민 공연| 버스킹| 퍼포먼스 등)| 향기가득 부스워트(장미관련 체험| 로즈뷰티| 먹거리존 등)| 포포존| 관객참여 피아노공연| 아트풍선 등,(재)달서문화재단,C01
F0155,전국민속 소싸움 달성대회,문화,국립대구과학관옆 체육시설부지,4,200여두 출전,달성소싸움협회,C01
F0156,정월대보름 달맞이 행사,보름달맞이,금호강 둔치,2,달집태우기| 노래자랑| 풍물| 쥐불놀이 등,안심백인청년회,C01
F0157,정월대보름 달맞이문화제,보름달맞이,달성보 일원,3,기원제| 달집태우기| 축하공연 등(올해는 조류독감으로 미개최),달성문화원,C01
F0158,정월대보름 문화행사,보름달맞이,대구스타디움 서편광장,2,달집태우기| 전통민속놀이 등,고산농악보존회,C01
F0159,정월대보름달맞이축제,보름달맞이,신천변 생활체육광장,2,달집태우기| 민속놀이| 먹거리 등,민주평화통일자문회의중구지회,C01
F0160,제14회 신천돗자리음악회,문화,신천둔치 중동교남편,7,공감콘서트|신천돗자리가요제|폭염이벤트|건강체험부스 등,남구문화행사추진원회,C01
F0161,제1회 북성로 축제,역사,북성로 공구골목 일원,10,부스프로그램| 북성로 공업소 투어| 오픈 스튜디오(작가 공방 오픈)| 거리전시 및 공연,(사)시간과공간연구소,C01
F0162,제27회 대구 앞산 축제,자연,"대구앞산빨래터공원, 앞산맛둘레길일대",4,손빨래체험|손빨래 퍼포먼스|거리퍼레이드|펫퍼레이드|체험부스|초청가수공연|버스킹|플리마켓|연계행사,남구문화행사추진원회,C01
F0163,제2회 북성로 축제,예술,북성로 공구골목 일원,10,부스프로그램| 북성로 공업소 투어| 오픈 스튜디오(작가 공방 오픈)| 거리전시 및 공연,훌라,C01
F0164,중구미술협회전,예술,봉산문화회관 전시실,10,중구미술협회작가 전시,중구미술협회,C01
F0165,천을산 해맞이,해돋이,천을산 정상,1,새해메세지| 대북타고| 해오름 함성 등,(재)수성문화재단,C01
F0166,팔공산 단풍축제,가을,동화지구 분수대광장,10,단풍길 걷기| 단풍가요제 등,팔공산 단풍축제추진위원회,C01
F0167,팔공산 벚꽃축제,꽃놀이,동화지구 분수대광장,4,벚꽃가요제| 봄나물비빔밥 축제 등,팔공산 벚꽃축제추진위원회,C01
F0168,팔공산 산중전통장터 승시,역사,팔공산 동화사 경내,10,산중 생활용품 물물교환 풍속 재연| 불교예술 공연 및 경연| 전통문화 등 놀이 체험| 산중음식 체험| 세계 불교문화 체험 등,(사)대구음식문화포럼,C01
